model,rmse,mae,mape,r2,w_rmse,w_mae,wspl,crps,coverage_error_50pct,coverage_error_80pct,coverage_error_90pct,coverage_error_95pct,coverage_95,interval_width,quantile_crps
baseline_gru_det,2.164212226867676,1.1002812385559082,55.975799560546875,0.6466165101229981,4.698300361633301,2.310824394226074,0.9615447093022859,2.3108243139920175,-0.5,-0.8,-0.9,-0.95,,,
baseline_gru_prob,2.299236536026001,1.086346983909607,57.761024475097656,0.6011460249697469,5.413849830627441,2.4955451488494873,0.4612084146396526,1.2820213057402383,0.243163,0.098771,0.03868,0.011391,0.9613913226819097,4.551437854766846,0.3943502481837254
baseline_quantile_gru,2.3745551109313965,1.0276055335998535,76.27535247802734,0.5745867149054653,5.7945332527160645,2.5769128799438477,0.45972372519788607,1.2877415258835785,-0.130942,-0.199683,-0.060843,-0.062776,0.8872241484327414,5.606719493865967,0.3847390978952296
